序号,常见问题,可报类别,标准答案,问题情况,备注
1,什么情况下不能申请松山湖公办中小学转学？,,入学指南明确要求，公办中小学不接受以下人员申请转学：往年已向松山湖申请了同一学段学位并安排了免费义务教育学位的人员(含政府购买的公民办学校学位)。,新增,
2,什么类型能申请松山湖公办、普惠性幼儿园学位？,A类、B2类,松山湖适龄户籍户籍学童，和B2优待政策人员。,新增,
3,A3类中“学童和父（母）是松山湖家庭户，但学童与房产所有人非直系亲属关系”是什么意思？,A3类,原来是家庭户，报读前父母进行了房产交易，父母名下无房产的学童。,新增,
4,父母不在松山湖工作，全家户籍都不在松山湖，但在园区有房产，属于哪类？,C类（东莞市积分制入学）,非东莞户籍学童可以参考C类。政策依据为“父母一方服务地、居住地或户籍在松山湖，或父母在松山湖拥有产权清晰的自有居所的非户籍适龄学童，且符合《东莞市义务教育阶段非户籍适龄儿童少年积分制入学积分方案》要求，按积分高低顺序安排入读。”，需要根据实际情况结合类别要求进行申报。,新增,
5,父母不在松山湖工作，父母有一方户籍在松山湖，园区没有房产，属于哪类？,C类（东莞市积分制入学）,非东莞户籍学童可以参考C类。政策依据为“父母一方服务地、居住地或户籍在松山湖，或父母在松山湖拥有产权清晰的自有居所的非户籍适龄学童，且符合《东莞市义务教育阶段非户籍适龄儿童少年积分制入学积分方案》要求，按积分高低顺序安排入读。”需要根据实际情况结合类别要求进行申报。,新增,
6,父母不在松山湖工作，且户籍不在松山湖，孩子户籍在松山湖（户籍跟爷爷），父母园区没有房产（房产属于爷爷）属于哪类？,,属于A1类。需要提供孩子与父母、父母与爷爷之间的关系证明作为凭证。,新增,
7,父母在松山湖工作，全家户籍都不在松山湖，园区没有房产，属于哪类？,B类或C类（东莞市积分制入学）,B类或C类。B类细分为B1、B2、B3类，需要根据实际情况结合类别要求进行申报。,新增,
8,父母在松山湖工作，父母有一方户籍在松山湖，孩子户籍不在松山湖，园区没有房产，属于哪类？,B类或C类（东莞市积分制入学）,B类或C类。B类细分为B1、B2、B3类，需要根据实际情况结合类别要求进行申报。注意：B1/C类只针对学童为非东莞市户籍的才能申报，B2有个别情况不限户籍，需结合实际去申报。,新增,
9,孩子与父母都有松山湖户籍，父母在园区没有房产，且父母在松山湖机关和事业单位工作，请问可以同时申报A2类、B2类吗？还是只能选择一类申报?,A2类、B2类（二选一）,可以选择用A2、B2类报名，但是只能任选一个类别，不同同时申报2个类别。,新增,
10,全家是松山湖家庭户籍，父母符合B2类人才，父母所在企业有名额，能否不走A1，而走B2类？,A1类,"在松山湖工作的A1类人员学位分配方式可以选择按A1类或B类人员，选择以B类人员进行学位分配的，要经过所在单位审核，审核通过后纳入B类人员学位分配方式。
不可以走B2.1类，因为B2.1类仅针对非东莞户籍学童；可以走A1类，选择以B类人员进行学位分配的。",新增,
11,父母是松山湖家庭户籍，孩子是东莞其他镇街的户籍，父母符合B2类人才，所在企业有名额，可以走B1类吗？,B2类个别、B3,不可以报B1（企业指标）和C类（东莞市积分入学），因为这两类只针对学童为非东莞市户籍的；B22有个别情况不限户籍，需结合实际去申报。该情况建议可以让孩子把户口随迁到父母户口走A1类，或者走B3类。,新增,
12,全家均无园区户籍，也没有房产，也没在园区工作，但在松山湖居住，这个情况能否通过C类申报松山湖学位？,,"分两类情况：
1、学童户籍在东莞市外，家长有松山湖居住证，可申请C类（东莞市积分入学）；
2、学童户籍在东莞其他镇街，不符合任何类别，可到户籍所在镇区申请。",新增,
13,A2、A3、B1、B2、B3，公办学位的分配优先次序有区别吗？,,A类跟B类的学位分配方式不一样。入学报名需根据个人实际情况申请。,新增,
14,怎么知道我的房子是否被锁定？,,家庭户的市民可在“松山湖入学管理平台-家庭户学位申请房锁定查询”功能板块中，进行房产锁定的查询；查询页面可选择楼盘名称、楼栋号、单元号（无单元号则选择“无”） 和房号去查询。,新增,
